PathName	X	Y
bienkinh1	1724	3251
bienkinh1	1731	3262
bienkinh1	1735	3266
bienkinh1	1743	3274
bienkinh1	1755	3272
bienkinh1	1764	3269
bienkinh1	1765	3279
bienkinh1	1767	3286
bienkinh1	1770	3293
bienkinh1	1773	3298
bienkinh1	1774	3304
bienkinh1	1772	3313
bienkinh1	1769	3324
bienkinh1	1769	3340
bienkinh1	1768	3350
bienkinh1	1762	3360
bienkinh1	1757	3362
bienkinh1	1758	3373
bienkinh1	1760	3381
bienkinh1	1763	3392
bienkinh1	1766	3403
bienkinh1	1765	3416
bienkinh1	1764	3424
bienkinh1	1752	3437
bienkinh1	1747	3441
bienkinh1	1743	3445
bienkinh1	1736	3443
bienkinh1	1730	3440
bienkinh1	1726	3436
bienkinh1	1720	3436
bienkinh1	1714	3437
bienkinh1	1704	3440
bienkinh1	1693	3447
bienkinh1	1684	3454
bienkinh1	1676	3460
bienkinh1	1661	3464
bienkinh1	1653	3466
bienkinh1	1645	3466
bienkinh1	1631	3467
bienkinh1	1624	3459
bienkinh1	1621	3449
bienkinh1	1619	3441
bienkinh1	1615	3432
bienkinh1	1611	3423
bienkinh1	1609	3417
bienkinh1	1605	3410
bienkinh1	1601	3402
bienkinh1	1594	3389
bienkinh1	1594	3387
bienkinh1	1594	3378
bienkinh1	1593	3369
bienkinh1	1590	3361
bienkinh1	1587	3352
bienkinh1	1583	3345
bienkinh1	1581	3337
bienkinh1	1581	3327
bienkinh1	1582	3318
bienkinh1	1584	3310
bienkinh1	1583	3301
bienkinh1	1581	3295
bienkinh1	1579	3285
bienkinh1	1579	3276
bienkinh1	1581	3267
bienkinh1	1588	3259
bienkinh1	1593	3249
bienkinh1	1591	3239
bienkinh1	1583	3237
bienkinh1	1589	3245
bienkinh1	1600	3238
bienkinh1	1602	3230
bienkinh1	1611	3218
bienkinh1	1618	3212
bienkinh1	1627	3206
bienkinh1	1635	3198
bienkinh1	1643	3187
bienkinh1	1655	3199
bienkinh1	1664	3211
bienkinh1	1666	3214
bienkinh1	1666	3228
bienkinh1	1672	3235
bienkinh1	1682	3229
bienkinh1	1695	3216
bienkinh1	1707	3203
bienkinh1	1713	3197
bienkinh1	1720	3189
bienkinh1	1723	3187
bienkinh1	1729	3181
bienkinh1	1735	3175
bienkinh1	1741	3169
bienkinh1	1749	3162
bienkinh1	1744	3155
bienkinh1	1736	3144
bienkinh1	1726	3134
bienkinh1	1717	3124
bienkinh1	1708	3118
bienkinh1	1701	3123
bienkinh1	1686	3136
bienkinh1	1679	3146
bienkinh1	1669	3158
bienkinh1	1663	3164
bienkinh1	1655	3169
bienkinh1	1649	3161
bienkinh1	1643	3154
bienkinh1	1636	3147
bienkinh1	1629	3140
bienkinh1	1621	3132
bienkinh1	1615	3125
bienkinh1	1606	3116
bienkinh1	1597	3107
bienkinh1	1589	3101
bienkinh1	1609	3081
bienkinh1	1620	3068
bienkinh1	1630	3058
bienkinh1	1640	3050
bienkinh1	1650	3059
bienkinh1	1658	3068
bienkinh1	1663	3074
bienkinh1	1671	3083
bienkinh1	1678	3090
bienkinh1	1689	3098
bienkinh1	1694	3104
bienkinh1	1712	3122
bienkinh1	1716	3127
bienkinh1	1723	3135
bienkinh1	1729	3142
bienkinh1	1737	3150
bienkinh1	1749	3162
bienkinh1	1743	3168
bienkinh1	1724	3187
bienkinh1	1716	3196
bienkinh1	1704	3206
bienkinh1	1694	3219
bienkinh1	1682	3228
